"","track_name.x","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","popularity"
"1578","Dona Maria","0dGqIEsFN3KakdPCMkgjre",0.746,0.447,11,-7.485,1,0.118,0.846,0,0.201,0.924,139.994,4,187999,61
"1582","Only Human","0DiDStADDVh3SvAsoJAFMk",0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,4,183000,84
"1586","Chega de Saudade","0dWOiVQwoUYTtXD0VVgmJQ",0.563,0.242,4,-16.004,0,0.0327,0.743,0,0.166,0.647,87.771,4,121987,44
"1588","Saudade Da Gente","0dZVjzzrF5CBxyyqVpFxYo",0.416,0.478,0,-7.122,0,0.0396,0.201,0,0.148,0.543,173.362,3,200018,40
"1589","Sem Sal - Ao Vivo","0E5S49GCejjIo9Bjmo5Q4z",0.559,0.844,0,-3.685,1,0.124,0.112,0,0.935,0.823,139.385,4,162751,3
"1641","rockstar (feat. 21 Savage)","0e7ipj03S05BNilyu5bRzt",0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,4,218147,87
"1864","In My Mind","0E9ZjEAyAwOXZ7wJC0PD33",0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,4,184560,82
"2083","Jamais Vu","0eeeyCAGnGZInPtpkdYiPa",0.608,0.47,8,-6.73,1,0.0428,0.226,0,0.0963,0.241,81,4,227275,69
"2086","Enquanto Me Beija","0EsftWIxQKCoCz5HZtlpkW",0.66,0.586,11,-5.911,1,0.0336,0.748,0,0.108,0.486,134.849,4,219635,59
"2098","Deixa Eu Te Chamar de Meu Amor","0EyxB6uQOUC4ex2tbJuu6m",0.719,0.781,10,-5.131,1,0.0535,0.1,0,0.197,0.713,156.012,4,157308,56
"2337","Sem Sal - Ao Vivo","0EZuXcsnjEmGuRYdFdcctX",0.559,0.844,0,-3.685,1,0.124,0.112,0,0.935,0.823,139.385,4,162751,69
"2650","Old Town Road","0F7FA14euOIX8KcbEturGH",0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998,4,113000,82
"2730","Quase Amor","0Fb8EGunEFldoQBZWJX2mk",0.795,0.786,1,-3.58,1,0.0287,0.18,0,0.11,0.8,123.921,4,161029,0
"2742","Não Planeje Nada","0FOe9rYciemlYvjQNpUHRL",0.66,0.778,8,-4.314,1,0.0574,0.348,0,0.723,0.48,147.096,4,177807,60
"2756","Sabiá - Ao Vivo","0FwpTN3wN2ljtdiqUSQOIU",0.5,0.596,0,-6.63,1,0.045,0.326,0,0.945,0.57,108.536,4,186848,61
"2768","Anos Luz","0g5Bqcm6EcbcUXkiCnHxzk",0.623,0.484,6,-10.654,0,0.167,0.425,0,0.111,0.297,109.748,4,264081,0
"2846","Chacoalhando","0gEqZe7K7dVg7rpe77kB4L",0.95,0.4,5,-1.359,0,0.465,0.109,0.00915,0.0577,0.583,131.03,4,128287,51
"2871","Bebo Litro - Ao Vivo","0GSHXM7PZ75f6ZwpekBq83",0.596,0.835,0,-2.886,1,0.087,0.483,0,0.349,0.689,138.801,4,148331,59
"2961","Fica à vontade","0h1mVA8gOPR71lxSeY67uT",0.724,0.911,11,-2.01,0,0.245,0.393,1.27e-05,0.296,0.947,150.132,4,140000,71
"3099","Dona de mim","0H8CBal2Dcu5Yc001VotZN",0.412,0.809,9,-3.66,0,0.144,0.0397,0,0.0899,0.254,81.47,4,208941,68
"3464","Supera - Ao Vivo","0h9xMQP3ctuibd4Ce2037O",0.556,0.714,11,-5.973,0,0.0614,0.452,0,0.983,0.696,147.568,4,232279,57
"3554","Bomba Relógio","0HocIafyaS4C7rDGTJXYnj",0.778,0.596,0,-6.779,0,0.0644,0.747,0,0.203,0.868,107.905,4,210838,64
"3649","I Don't Care (with Justin Bieber)","0hVXuCcriWRGvwMV1r5Yn9",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4,219947,81
"3822","Caderninho","0iAiunuKLLAUmQxgkcJza2",0.706,0.183,3,-9.993,0,0.0592,0.714,0,0.12,0.789,118.239,4,220453,63
"3926","Hoje Eu Vou Parar Na Gaiola","0IQCOAw9ZAI6WnXIrl481F",0.65,0.361,2,-7.153,1,0.404,0.0331,0,0.0978,0.844,89.803,4,177094,70
"4291","A Distância Tá Maltratando","0IQhbmEHBKRkITY5ygyLWB",0.717,0.584,1,-4.92,0,0.0333,0.172,1.26e-06,0.268,0.661,152.017,4,167718,53
"4310","Qualidade De Vida - Ao Vivo","0ituhG5DzBFsBdp6ECz030",0.832,0.833,10,-2.38,0,0.0975,0.621,0,0.645,0.853,135.049,4,154417,48
"4394","Gelo","0J6cINt02c8UQqDG7vLShY",0.542,0.563,0,-7.446,1,0.0958,0.242,0,0.109,0.897,169.909,4,149728,72
"4528","Quem Pegou, Pegou - Ao Vivo","0kCqaybZgYcLYxzZymmBoc",0.69,0.67,9,-5.345,1,0.0317,0.299,0,0.749,0.579,104.022,4,184326,60
"4660","The Girls","0Khj227M17pFl6YepviWtH",0.542,0.783,6,-5.327,0,0.128,0.0338,6.4e-06,0.0804,0.311,96.834,4,253530,52
"4661","Ponto Fraco - Ao Vivo","0KkZFQSvZrTL1zU3cX8Z7e",0.605,0.827,6,-6.635,1,0.0503,0.725,0,0.952,0.785,151.733,4,205430,65
"4662","Faz","0kNjI0Q3NM6Jm1oI83Ucyu",0.693,0.482,1,-11.443,1,0.0506,0.00142,0.00993,0.386,0.559,119.934,4,243533,46
"4669","Daddy Lessons","0lCf7sZrGyEAKrfA1AXG11",0.618,0.5,7,-8.334,1,0.205,0.27,0,0.325,0.575,90.963,4,287960,36
"4670","Juramento do Dedinho","0lCmp1Mws7I9K4a0OAgces",0.712,0.548,8,-5.487,0,0.0568,0.463,0,0.13,0.659,143.912,3,164809,56
"4784","Santa Tell Me","0lizgQ7Qw35od7CYaoMBZb",0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,4,204093,69
"4786","Yesterday","0Ll26jZ8wzvUxaWdQlqIko",0.838,0.652,7,-7.005,1,0.0568,0.0232,0.418,0.573,0.666,124.004,4,165600,59
"4787","Sorry","0lnIJmgcUpEpe4AZACjayW",0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,4,232560,71
"4791","Agora vai sentar","0MWKXvUVtvOKamfqRpnAdp",0.826,0.618,3,-0.856,0,0.0362,0.217,1.85e-06,0.0951,0.735,130.068,4,226038,52
"4837","SOS","0n2nEtLP3OzDdi12ziIekx",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4,157202,68
"4838","Amor de Fim de Noite","0nDnvGagGAQP5vpgCyS5yH",0.472,0.427,7,-9.693,0,0.0664,0.841,0,0.0839,0.692,139.532,4,221143,74
"4884","Não sou obrigada","0nkDm27DGppCSk8dnGtvPa",0.819,0.951,6,-2.896,0,0.141,0.356,0,0.145,0.963,153.963,4,148340,72
"5159","Pega a Receita","0nlFCC2xIQqUJpuQIVPl7S",0.929,0.542,7,-5.236,1,0.0856,0.283,0,0.0254,0.887,130.124,4,160615,51
"5171","Até o céu","0NRP5OIrTcgGvttJlSLO0n",0.628,0.874,1,-1.818,0,0.0613,0.391,0,0.337,0.691,81.967,4,166829,71
"5183","Cerveja, Sal E Limão","0NvJLuAz5qjO6FRegFcjGN",0.703,0.791,2,-4.286,1,0.0375,0.202,0,0.519,0.496,115.934,4,197597,55
"5260","Tua Caramassa","0o8RTLoR6ctZ3eGnH5rlxZ",0.686,0.413,9,-10.264,1,0.0403,0.251,0,0.112,0.657,93.069,4,223189,49
"5266","Doin' Time","0Oqc0kKFsQ6MhFOLBNZIGX",0.649,0.538,7,-11.196,0,0.0519,0.372,0.00632,0.0951,0.496,144.979,4,202193,76
"5273","Não Fala Não pra Mim","0PaAB17axL9hn88mHiw8g0",0.741,0.794,3,-2.555,1,0.0402,0.591,0,0.236,0.765,157.987,4,196613,61
"5447","Please Me","0PG9fbaaHFHfre2gUVo7AN",0.747,0.57,1,-6.711,1,0.081,0.0642,0,0.0832,0.65,133.992,4,200890,77
"5484","Se...","0PgsB53yhlKs8D19LgYU4i",0.575,0.392,9,-10.383,1,0.035,0.609,7.45e-05,0.0624,0.498,179.789,4,291533,67
"5507","Believer","0pqnGHJpmpxLKifKRmU6WP",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4,204347,86
"5872","Sem Contraindicação - Ao Vivo","0pqyzGaS6qpdHs3bzjVYzb",0.647,0.873,4,-2.42,0,0.0605,0.581,0,0.586,0.612,112.917,4,181736,50
"5881","6 Inch (feat. The Weeknd)","0pxNyJJiL2zZZ5GgJ4JhsQ",0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,4,260440,65
"5884","Solteiro Nunca Está Só","0qFHLde09T8wwoxQOhGtJQ",0.839,0.545,10,-3.718,1,0.0753,0.0151,0,0.114,0.545,129.907,4,147692,47
"5938","Make It Hot","0QopfywHKJZH8bnt8Cj9qr",0.753,0.765,11,-4.648,1,0.0403,0.00279,0.025,0.696,0.497,97,4,168398,34
"5954","Meu mel","0R17DVcbWdNkZRv09VWCIB",0.658,0.783,10,-3.502,1,0.0859,0.451,0,0.336,0.606,149.718,4,200000,68
"5964","Mandona - Acústico","0R4dwzW253KTxchGryT1H6",0.652,0.4,11,-11.284,0,0.447,0.339,0,0.105,0.556,88.755,4,239999,66
"6096","Romance Com Safadeza","0RBOFW5424gCCCZrgECbt6",0.544,0.903,11,-4.11,0,0.0693,0.216,0,0.117,0.765,155.97,4,172655,61
"6152","Motivation","0rIAC4PXANcKmitJfoqmVm",0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,4,193837,79
"6198","Primeiro Milhão","0RiKAq1SfF6rfYcWpjB2T5",0.817,0.516,5,-9.359,1,0.193,0.468,0,0.153,0.435,130.043,4,213447,66
"6204","Sunflower - Spider-Man: Into the Spider-Verse","0RiRZpuVRbi7oqRdSMwhQY",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4,157560,84
"6295","Estranho - Ao Vivo | Acústico","0rOYqGZFzJzVGcZyXrN3fO",0.739,0.504,2,-5.925,1,0.0576,0.493,0,0.0956,0.391,155.876,4,157931,62
"6371","Talk","0rTV5WefWd1J3OwIheTzxM",0.9,0.4,0,-8.443,1,0.124,0.0501,0,0.0876,0.338,136.001,4,197487,78
"6377","Apaixonadinha - Ao Vivo","0rUL7vUZmCKxB0gS83W3aM",0.663,0.771,0,-4.665,1,0.206,0.216,0,0.713,0.778,166.026,4,180921,71
"6606","boyfriend (with Social House)","0Ryd8975WihbObpp5cPW1t",0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,4,186107,82
"6667","Hold Up","0rzNMzZsubFcXSEh7dnem7",0.524,0.397,0,-11.936,1,0.405,0.745,0,0.521,0.552,80.744,4,221093,74
"6670","Blinding Lights","0sf12qNH5qcw8qpgymFOqD",0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,4,201573,100
"6676","Should've Said It","0sHc1EEeOnmgjP6QmsR7px",0.666,0.549,5,-5.781,0,0.0269,0.0281,0.000181,0.136,0.596,98.014,4,200626,68
"6677","Perfect","0tgVpDi06FyKpA1z0VMD4v",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3,263400,85
"6690","Señorita","0TK2YIli7K1leLovkQiNik",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4,190960,89
"6725","imagine","0todbbT9g5uQGbeFCiBf2F",0.714,0.474,8,-4.993,1,0.039,0.374,0,0.106,0.376,62.484,3,212293,8
"6728","Fiz Esse Som Pra Você","0tVIg8CTMN7QI4x0h0gLoE",0.667,0.845,1,-8.755,0,0.0304,0.00967,0,0.411,0.966,120.002,4,203008,42
"6735","lovely (with Khalid)","0u2P5u6lvoDfwTYjAADbn4",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4,200186,89
"6757","Vem Me Amar","0UavwCicOnQwMuh67yaxM3",0.612,0.934,1,-3.786,0,0.0393,0.349,0,0.231,0.958,166.96,4,155717,62
"6806","Sobe Balão Desce Princesa","0uwACgfVjhpqvVFcmZFV6p",0.682,0.401,0,-6.139,1,0.485,0.11,1.88e-06,0.0388,0.676,150.062,4,211200,54
